N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper,point_est_feasible,main_seed_verdict,main_seed_m,verify_seed_verdict,verify_seed_m
475,1152,8.98110653826616,80,200,0.4,0.3346057851761492,0.46916328015764336,False,insufficient,200,,
539,585,8.98110653826616,129,200,0.645,0.5765211302029042,0.7080137250630966,False,insufficient,200,,
603,18,8.98110653826616,3542,4000,0.8855,0.8752602553146897,0.8950000138972918,False,insufficient,4000,,
27,5121,8.981106538266161,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
91,4554,8.981106538266161,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
155,3987,8.981106538266161,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
219,3420,8.981106538266161,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
283,2853,8.981106538266161,7,200,0.035,0.01705554191525804,0.0704706118868775,False,insufficient,200,,
347,2286,8.981106538266161,19,200,0.095,0.061663102507449205,0.14360161209441077,False,insufficient,200,,
34,5059,8.98113271820494,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
98,4492,8.98113271820494,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
162,3925,8.98113271820494,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
226,3358,8.98113271820494,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
290,2791,8.98113271820494,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
354,2224,8.98113271820494,15,200,0.075,0.04597491700833055,0.12004361066028794,False,insufficient,200,,
418,1657,8.98113271820494,47,200,0.235,0.18157433377419854,0.2984136893603518,False,insufficient,200,,
482,1090,8.98113271820494,83,200,0.415,0.34894285399844827,0.4842608515352753,False,insufficient,200,,
546,523,8.98113271820494,131,200,0.655,0.5867558920387631,0.7174020566938584,False,insufficient,200,,
553,461,8.981158898143718,137,200,0.685,0.6176504385930084,0.7453767905394755,False,insufficient,200,,
41,4997,8.98115889814372,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
105,4430,8.98115889814372,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
169,3863,8.98115889814372,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
233,3296,8.98115889814372,3,200,0.015,0.005114237753504754,0.043165729115389295,False,insufficient,200,,
297,2729,8.98115889814372,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
361,2162,8.98115889814372,16,200,0.08,0.04984058570487163,0.12598948869705726,False,insufficient,200,,
425,1595,8.98115889814372,49,200,0.245,0.1905686805032898,0.3090424360978812,False,insufficient,200,,
489,1028,8.98115889814372,89,200,0.445,0.377806009517404,0.5142669764161818,False,insufficient,200,,
560,399,8.981185078082499,144,200,0.72,0.6540769535890598,0.7776311026765964,False,insufficient,200,,
48,4935,8.9811850780825,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
112,4368,8.9811850780825,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
176,3801,8.9811850780825,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
240,3234,8.9811850780825,3,200,0.015,0.005114237753504754,0.043165729115389295,False,insufficient,200,,
304,2667,8.9811850780825,8,200,0.04,0.0204056319610195,0.0769320685744264,False,insufficient,200,,
368,2100,8.9811850780825,18,200,0.09,0.05768744866037736,0.13776571920817224,False,insufficient,200,,
432,1533,8.9811850780825,53,200,0.265,0.2086815410670056,0.33017576246740693,False,insufficient,200,,
496,966,8.9811850780825,92,200,0.46,0.39233051748177505,0.529177108651742,False,insufficient,200,,
247,3172,8.981211258021279,4,200,0.02,0.007804426362159347,0.05028708724004506,False,insufficient,200,,
311,2605,8.981211258021279,8,200,0.04,0.0204056319610195,0.0769320685744264,False,insufficient,200,,
375,2038,8.981211258021279,20,200,0.1,0.06567044845124732,0.14940581288392302,False,insufficient,200,,
439,1471,8.981211258021279,62,200,0.31,0.2499894479224967,0.37717177621170916,False,insufficient,200,,
503,904,8.981211258021279,101,200,0.505,0.4362699998026278,0.5735415469306826,False,insufficient,200,,
55,4873,8.98121125802128,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
119,4306,8.98121125802128,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
